college_name,city,state,type_des,degree_des,campus_des,median_family_income,retention,population_recieving_loan,fed_loan_recipients,population_recieving_pell,pell_recipients,instate_tuition,outofstate_tuition,attendance_cost,avg_net_price,first_bracket_net_price,second_bracket_net_price,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,median_earnings,avg_earnings_from_low_income_bracket,avg_earnings_from_mid_income_bracket,avg_earnings_from_high_income_bracket,earning_above_threshold,completion_rate,debt_high_income,population_debt_high_income,debt_mid_income,population_debt_mid_income,debt_low_income,population_debt_low_income,debt_pell,population_debt_pell,debt_nopell,population_debt_nopell,debt_withdrew,debt_graduated,population_repayment_cohort,repayment_rate
University of South Dakota,Vermillion,SD,public,bachelors,main,53346,0.7649,0.980000019,0.5899,0.469999999,0.2876,8022,10104,18843,15442,12172,12954,16195,17226,17305,39500,45300,44300,44000,0.7615453,0.524073118,15000,1273,16810,1565,14250,1296,18000,2357,12592,1790,10500,24000,3349,0.850104509
Austin Peay State University,Clarksville,TN,public,bachelors,main,30942,0.6618,0.879999995,0.5866,0.699999988,0.5384,6876,21372,18852,15478,13508,14972,17699,18811,18852,34700,34700,40200,39100,0.671232879,0.3603,13000,891,15750,1954,15250,2963,17025,4487,11446.5,1330,12101,25000,4100,0.645609756
East Tennessee State University,Johnson City,TN,public,bachelors,main,36276,0.6619,0.860000014,0.5122,0.649999976,0.4367,7249,22561,22485,14941,12766,13824,17336,18301,18663,34000,36200,38400,45200,0.658670843,0.410164573,12600,1278,15000,2155,14250,2903,15546,4426,11950,1923,10500,20259,4053,0.726868986
University of Memphis,Memphis,TN,public,bachelors,main,29727,0.7583,0.879999995,0.6224,0.709999979,0.471,8312,23024,20899,12258,9352,11875,14857,16236,16384,37000,37300,44400,46300,0.710944533,0.415643458,16500,1858,18976.5,2770,19960,5152,21250,7198,13263.5,2596,13774.5,26393.5,6335,0.586424625
Middle Tennessee State University,Murfreesboro,TN,public,bachelors,main,42980,0.6838,0.879999995,0.5732,0.589999974,0.4485,7546,23002,17501,9169,6233,8177,12168,13247,13630,36100,37600,40400,43600,0.712883413,0.453413673,15000,2926,15618,4168,14608,5017,16845,8179,12000,3953,10250,22170.5,8573,0.739414441
The University of Tennessee-Chattanooga,Chattanooga,TN,public,bachelors,main,43600,0.6912,0.860000014,0.6922,0.600000024,0.3527,7554,22760,19192,12056,6654,9039,13046,14226,14290,36500,39600,41500,43900,0.738109231,0.376512993,10500,1445,11520,1533,12500,1551,13373,2652,9000,1890,7112.5,20500,2815,0.763765542
The University of Tennessee-Knoxville,Knoxville,TN,public,bachelors,main,55229,0.8563,0.899999976,0.4396,0.5,0.2991,11194,29684,24746,14162,7908,10774,17476,18874,19270,42300,53200,49500,53300,0.779581904,0.668149766,15250,2981,16750,2402,14000,2607,18000,4453,12500,3555,9613.5,20338.5,5861,0.845418871
The University of Tennessee-Martin,Martin,TN,public,bachelors,main,41497,0.6994,0.870000005,0.5605,0.660000026,0.4709,7507,21451,16227,6933,4279,6546,10021,11065,10688,34800,34200,39000,42100,0.693094611,0.476437173,15000,711,15632,1191,14275,1560,16500,2541,12500,925,9500,23750,2418,0.714640199
Tennessee State University,Nashville,TN,public,bachelors,main,33626,0.5978,0.920000017,0.7748,0.720000029,0.6656,6498,19218,16903,9571,8719,9532,12460,12494,15501,35800,36000,41000,42300,0.691262126,0.321018366,19500,520,17500,1498,15000,3259,17000,4411,13418,869,12250,28500,3602,0.527207107
Tennessee Technological University,Cookeville,TN,public,bachelors,main,45109,0.7458,0.850000024,0.4547,0.620000005,0.3695,7063,22063,19900,11321,7873,9785,13340,14517,14462,37700,40300,41800,48300,0.724832237,0.512672598,9750,1102,11500,1590,10567,1545,11750,2758,8894,1488,7000,15625,2766,0.811641359
Angelo State University,San Angelo,TX,public,bachelors,main,43559,0.5457,0.850000024,0.5526,0.660000026,0.4264,6559,15055,19511,12716,9452,10756,16256,16767,16391,38000,39100,45200,45900,0.737288117,0.305068022,11092,817,13276,1143,11000,1241,13135,2131,10071,1071,8250,21594,2259,0.725099602
Texas A & M University Health Science Center,Bryan,TX,public,bachelors,branch,31154,,0.930000007,0.5534,0.439999998,0.1748,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,17800,5438,17500,3504,13586,2834,17710,5785,15000,6009,9000,19253,8862,0.918415708
Texas A & M University-Corpus Christi,Corpus Christi,TX,public,bachelors,main,36327,0.5733,0.870000005,0.5459,0.670000017,0.4177,7172,15668,17782,13404,12645,13840,15525,16162,,42400,44300,47900,50300,0.789422154,0.396098083,12028,1147,12674,1490,14750,2233,15182,3376,10199.5,1500,9500,22750,3013,0.740458015
Texas A & M University-Texarkana,Texarkana,TX,public,bachelors,main,25193,0.403,0.709999979,0.3971,0.720000029,0.4616,5578,14002,14147,8258,6682,8359,10539,11690,12397,35800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.788194418,,PrivacySuppressed,PrivacySuppressed,8956,239,11000,389,11551,489,PrivacySuppressed,PrivacySuppressed,7500,12544.5,404,0.747524752
Texas A & M University-Commerce,Commerce,TX,public,bachelors,main,32165,0.6687,0.889999986,0.5986,0.709999979,0.4948,6583,17203,18487,10459,8229,9199,13047,14238,16474,37100,36700,38800,42300,0.734752595,0.408951058,13274,745,15000,1445,15304,2203,16500,3225,11500,1176,11015,21228,2601,0.657823914
University of Houston-Clear Lake,Houston,TX,public,bachelors,main,29836,,0.879999995,0.4457,0.639999986,0.418,,,,,,,,,,46900,51500,55800,55300,0.835355282,,15913,428,16370,739,16000,1199,17390,1611,13836.5,760,13356,18000,1558,0.779845956
University of Houston-Downtown,Houston,TX,public,bachelors,main,24928.5,0.6309,0.720000029,0.4419,0.790000021,0.4744,5238,13734,18879,10898,9772,10266,13994,17541,16785,42800,43700,48400,58200,0.774464488,0.129841293,12000,537,12500,1931,13601,4153,14164,5264,11000,1369,11461,21000,4313,0.663807095
University of Houston-Victoria,Victoria,TX,public,bachelors,main,28760,0.4781,0.810000002,0.4932,0.689999998,0.4369,6248,16868,17508,9766,7557,8605,11899,15582,16479,39300,40400,44500,42400,0.789340079,,10250,239,12603,538,12000,904,12500,1169,PrivacySuppressed,PrivacySuppressed,11000,16844,656,0.829268293
University of Houston,Houston,TX,public,bachelors,main,33211,0.8463,0.850000024,0.4299,0.649999976,0.3879,8401,16897,22215,12822,9643,10648,14628,18641,19526,48300,56300,55700,55200,0.81411171,0.468494619,14000,2721,14674,4000,15250,5864,16250,8820,12000,3796,10000,20426,8773,0.788099852
Lamar University,Beaumont,TX,public,bachelors,main,31781.5,0.5346,0.829999983,0.5438,0.720000029,0.4556,7429,15925,21142,16109,14576,15132,18273,19876,20672,38800,41200,49100,50600,0.719652057,0.335058824,11651,1095,11274,1791,13492,2844,15000,3962,9000,1771,9500,23182,3363,0.610466845
Texas A & M International University,Laredo,TX,public,bachelors,main,23615.5,0.737,0.699999988,0.3872,0.879999995,0.5733,5818,14314,15272,5282,4728,5483,6235,6699,9797,45200,44500,44100,48900,0.798051357,0.410215038,11669.5,230,11788.5,644,11122,1632,11500,2202,10516.5,306,8250,14671.5,1634,0.7374541
Midwestern State University,Wichita Falls,TX,public,bachelors,main,42383.5,0.6726,0.879999995,0.5099,0.639999986,0.3738,7665,9615,15704,9996,6078,7113,11789,13914,14990,38500,39300,43500,43700,0.75533247,0.422423922,13378,666,15619,980,15250,1049,17406.5,1820,11250,879,9500,23000,2018,0.799801784
University of North Texas,Denton,TX,public,bachelors,main,49512,0.7503,0.939999998,0.5602,0.529999971,0.3645,8745,17241,18593,10774,2551,4557,11797,16052,17103,42100,43700,47100,46700,0.771965206,0.490979786,15000,4434,15500,4757,13630,6047,16750,9650,12500,5613,9835.5,20750,11005,0.78355293
The University of Texas-Pan American,Edinburg,TX,public,bachelors,main,21957,0.7627,0.600000024,0.424,0.899999976,0.6362,5173,13669,11601,2452,1117,2174,5553,10287,11000,40500,41200,45600,51200,0.719376385,0.39372252,10000,645,9241,1755,9666,4636,9772,6207,8008.5,832,7250,12993.5,4414,0.726325329
The University of Texas at Brownsville,Brownsville,TX,public,bachelors,main,18013,0.4571,0.649999976,0.4499,0.930000007,0.575,5372,14834,13651,7793,7078,8015,10518,13007,12901,29400,33800,39700,42400,0.592307687,0.251541369,10500,303,10284.5,1216,10124.5,3924,10512,4948,8250,497,8000,17709,4209,0.6113091
Prairie View A & M University,Prairie View,TX,public,bachelors,main,34372,0.6788,0.930000007,0.7982,0.75999999,0.6541,6764,15350,16782,9394,7829,9163,12340,14476,14766,33600,35800,37600,39200,0.640543342,0.363462891,18750,675,18981.5,1550,15676,2491,18250,3870,14500,851,12980,29052,3357,0.428358654
Sam Houston State University,Huntsville,TX,public,bachelors,main,47405.5,0.7752,0.930000007,0.6009,0.589999974,0.4338,7022,15518,19173,12392,11096,10251,14262,17081,17467,41400,43400,44700,48000,0.780737698,0.49531699,15000,2105,17717,2383,16419,3107,18500,5089,13500,2514,10500,22224,5467,0.777574538
Stephen F Austin State University,Nacogdoches,TX,public,bachelors,main,45665,0.6729,0.920000017,0.601,0.610000014,0.448,8412,19032,21909,18853,16427,17838,20250,21670,21834,39700,39100,45000,45900,0.767279088,0.433665777,15000,1629,16750,2039,16409.5,2440,18000,4309,12370,1811,10750,25000,4835,0.705274043
Texas State University,San Marcos,TX,public,bachelors,main,48876,0.7709,0.949999988,0.5201,0.569999993,0.3453,8060,17264,19721,14104,9859,11929,15709,18606,19449,43700,45400,48600,49100,0.801242232,0.561966661,15000,4245,16115,4223,16000,5352,18000,8727,12566,5117,9660,21714.5,9219,0.801822323
Sul Ross State University,Alpine,TX,public,bachelors,main,23682,0.4784,0.779999971,0.5858,0.819999993,0.6055,5436,13932,17254,11064,9121,9696,15276,15933,16561,38000,38900,43200,41300,0.730021596,0.274172811,8175,163,10500,375,11000,898,11095,1183,6487.5,254,10000,16728,1077,0.584029712
Tarleton State University,Stephenville,TX,public,bachelors,main,42847,0.6835,0.889999986,0.5557,0.629999995,0.4114,5856,14352,17709,14978,12247,13784,16318,17189,17566,40400,42100,45200,47800,0.777147472,0.41085233,12000,1450,13000,2443,14405,3084,15500,4860,10750,2133,11000,21500,3446,0.791642484
University of Texas Southwestern Medical Center,Dallas,TX,public,bachelors,main,10023,,1,0.0909,0.109999999,0.0606,,,,,,,,,,81500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.956730783,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,10,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,55,PrivacySuppressed
The University of Texas Health Science Center at San Antonio,San Antonio,TX,public,bachelors,main,24472,,0.970000029,0.5946,0.349999994,0.2766,,,,,,,,,,71000,113700,75700,71800,0.940433204,1,PrivacySuppressed,PrivacySuppressed,15610.5,228,17000,333,PrivacySuppressed,PrivacySuppressed,15000,433,12500,15755,510,0.925490196
The University of Texas Medical Branch,Galveston,TX,public,bachelors,main,26265,,0.99000001,0.5547,0.330000013,0.2589,,,,,,,,,,68500,74200,72100,64600,0.92338711,,PrivacySuppressed,PrivacySuppressed,15000,222,19209,284,PrivacySuppressed,PrivacySuppressed,15000,418,15000,15000,359,0.919220056
Texas A & M University-Kingsville,Kingsville,TX,public,bachelors,main,26861.5,0.6374,0.829999983,0.7603,0.779999971,0.5427,6940,17560,19721,11845,8244,10680,12810,18058,17980,39700,41700,45600,50400,0.726446688,0.32994508,13663,645,15390,1472,14250,2782,15289,3883,12000,1020,9966,20899,3035,0.648434926
Texas A & M University-College Station,College Station,TX,public,bachelors,main,71288,0.9143,0.910000026,0.3511,0.469999999,0.2162,8506,25126,20819,10912,3174,6771,13250,17368,18616,52900,62800,60500,63900,0.866740346,0.793307221,17800,5438,17500,3504,13586,2834,17710,5785,15000,6009,9000,19253,8862,0.918415708
The University of Texas at Arlington,Arlington,TX,public,bachelors,main,36358,0.7083,0.889999986,0.5975,0.620000005,0.4039,8878,17374,21420,13969,11240,12571,15321,18703,19109,46400,47100,53000,53900,0.807443023,0.402693464,12500,3398,13000,5398,13130,6479,14864,9713,12298,5591,9738,19608,8174,0.785050159
The University of Texas at Austin,Austin,TX,public,bachelors,main,62086,0.9363,0.939999998,0.4008,0.50999999,0.2683,9798,33842,25176,15721,7667,11560,17147,21643,23731,52800,63000,64600,67400,0.845283926,0.790563017,19500,4480,21000,3765,20921,3664,22153,6939,18000,4991,14000,22165,9283,0.902402241
The University of Texas at Dallas,Richardson,TX,public,bachelors,main,39445.5,0.8811,0.899999976,0.5766,0.550000012,0.354,10864,26038,22381,11395,8801,8674,12559,15221,15098,49500,54500,59200,62300,0.837535024,0.63370024,14376,1169,16091,1540,15500,2196,16750,3078,13250,1847,10250,19500,3446,0.848810215
The University of Texas at El Paso,El Paso,TX,public,bachelors,main,22907,0.6989,0.75999999,0.4967,0.839999974,0.5802,7255,19175,15272,7586,5303,7644,12271,15034,15164,39800,41900,43700,45100,0.714580119,0.385611786,12006,939,12000,2824,12500,6149,12600,8373,10142.5,1546,10750,18250,5691,0.741521701
The University of Texas at Tyler,Tyler,TX,public,bachelors,main,34405,0.664,0.850000024,0.4778,0.660000026,0.3879,7222,17842,19366,12259,7113,8575,15105,17097,18045,41600,47300,48900,51600,0.813368082,0.42438797,12500,619,13750,894,12750,1215,14265.5,1836,PrivacySuppressed,PrivacySuppressed,9225,18486,2163,0.794729542
The University of Texas of the Permian Basin,Odessa,TX,public,bachelors,main,29706,0.6639,0.819999993,0.2456,0.720000029,0.2117,5250,13674,14292,7688,5866,5466,9956,10312,12240,42400,43400,50900,50200,0.777777791,0.312955022,8499,258,8500,537,9500,682,10254,990,PrivacySuppressed,PrivacySuppressed,7201.5,13750,1218,0.759441708
The University of Texas at San Antonio,San Antonio,TX,public,bachelors,main,38470,0.6437,0.920000017,0.5512,0.670000017,0.4379,7457,16031,18936,11796,8242,8522,12815,16938,18030,44100,45500,47900,51400,0.802309334,0.29167959,14000,3110,16700.5,4084,17519.5,5664,18667,9269,12000,3608,10749,23723,10039,0.763821098
Texas Southern University,Houston,TX,public,bachelors,main,22626,0.5517,0.870000005,0.7412,0.850000024,0.6721,7946,18566,22311,18312,18277,22311,22311,22311,,31300,35600,39600,39500,0.608124733,0.137943012,16312.5,422,16500,1363,17000,3820,18750,4893,10432,714,14250,33763,4216,0.369544592
Texas Tech University,Lubbock,TX,public,bachelors,main,69477,0.8233,0.949999988,0.4932,0.479999989,0.289,7517,16013,20900,15403,9468,11680,16649,19297,19889,46100,51600,54100,56400,0.81453979,0.604729551,16219,4071,17750,3119,19000,3395,20364,6121,14000,4498,10763,23246.5,7381,0.842162309
Texas Woman's University,Denton,TX,public,bachelors,main,36226,0.7281,0.930000007,0.6135,0.620000005,0.4923,7339,17965,16345,9055,6975,8090,10941,12870,14458,44800,46800,49400,48900,0.807692289,0.435168927,13546,1060,14606,1841,14576.5,2600,15575.5,3712,12500,1799,10191,20923,3545,0.80112835
The University of Texas Health Science Center at Houston,Houston,TX,public,bachelors,main,21202,,0.970000029,0.8028,0.25999999,0.3535,,,,,,,,,,77700,129200,102100,81200,0.923636377,,PrivacySuppressed,PrivacySuppressed,14952.5,186,18522,262,PrivacySuppressed,PrivacySuppressed,15492,369,15000,18000,329,0.94224924
Texas Tech University Health Sciences Center,Lubbock,TX,public,bachelors,main,47606.5,,0.980000019,0.5732,0.280000001,0.2352,,,,,,,,,,65000,99600,75900,59900,0.892018795,,PrivacySuppressed,PrivacySuppressed,12500,469,14706,466,PrivacySuppressed,PrivacySuppressed,12500,886,12500,12500,603,0.910447761
West Texas A & M University,Canyon,TX,public,bachelors,main,39169,0.6555,0.839999974,0.512,0.660000026,0.3858,6500,7220,17553,11164,7426,8175,13300,15392,16209,40000,41100,45600,48400,0.768154919,0.421020619,12000,930,14750,1305,13607,1437,15496,2395,11000,1290,9625,21500,2762,0.760680666
Southern Utah University,Cedar City,UT,public,bachelors,main,30660.5,0.6473,0.709999979,0.5257,0.779999971,0.3843,5924,17902,18042,14336,12314,12979,14847,15985,16404,37200,41300,42700,38200,0.668674707,0.488493813,7500,722,8000,947,9500,1080,9500,2054,5500,709,5875,13250,1906,0.843651626
Utah State University,Logan,UT,public,bachelors,main,29227,0.6577,0.709999979,0.3227,0.790000021,0.3595,6030,17550,16020,10954,9895,10222,12162,12788,13913,42400,49300,46900,44700,0.723518491,0.497519713,8167,2349,9013.5,3176,9250,3510,10000,6085,6500,2981,6500,13500,4827,0.891236793
Utah Valley University,Orem,UT,public,bachelors,main,27618,0.6069,0.74000001,0.4234,0.800000012,0.4127,5086,14256,14213,9642,8211,9021,10852,13161,13398,43500,49500,49400,52800,0.716396749,0.239537861,7612.5,2134,11000,3962,12500,6048,12582,9688,6023,2494,9500,16500,7511,0.797896419
University of Utah,Salt Lake City,UT,public,bachelors,main,32294,0.8791,0.829999983,0.3557,0.670000017,0.3225,7457,23736,19048,14114,12299,12663,14548,17031,17101,49300,60700,58400,54000,0.781534433,0.59497,13000,1931,13000,2997,12500,4477,15250,6131,9076,3305,10821,15400,5513,0.889715219
Weber State University,Ogden,UT,public,bachelors,main,31092.5,0.6756,0.720000029,0.2732,0.75999999,0.304,4990,13311,13204,9760,8248,9121,10697,12271,12839,42400,47000,49000,47000,0.727032721,0.35545458,7663.5,1576,9663,3110,10000,3511,10666,5981,6640,2233,8000,14599,5031,0.825879547
Castleton State College,Castleton,VT,public,bachelors,main,69241,0.7447,0.980000019,0.7801,0.439999998,0.3476,10286,24014,20799,16539,13473,14368,16775,18634,19617,34600,37900,35500,39200,0.677891672,0.462299884,17500,500,19172,443,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15750.5,634,8250,25596,1023,0.870967742
Johnson State College,Johnson,VT,public,bachelors,main,43579,0.6186,0.959999979,0.735,0.569999993,0.4962,10286,21950,20404,14308,11231,12823,14724,17893,19609,32200,30700,33800,41000,0.618556678,0.349488598,14250,235,18987.5,368,20154,493,21000,770,12500,331,12000,26268,926,0.774298056
Lyndon State College,Lyndonville,VT,public,bachelors,main,56155,0.6437,0.959999979,0.7837,0.550000012,0.4411,10286,20942,19178,14059,10833,12569,14776,17715,18543,34100,32900,35600,37900,0.696202517,0.331459589,13000,310,16229,332,PrivacySuppressed,PrivacySuppressed,16902,576,PrivacySuppressed,PrivacySuppressed,8535.5,26900,781,0.798975672
University of Vermont,Burlington,VT,public,bachelors,main,77614,0.8577,0.959999979,0.4674,0.349999994,0.1948,15718,36646,27788,14876,10994,12264,14022,18373,20748,44000,49500,46800,52000,0.791573286,0.7582,19243.5,2120,19500,1322,16769,837,20300,1757,17306,2534,9581.5,21893.5,3132,0.930076628
College of William and Mary,Williamsburg,VA,public,bachelors,main,98940,0.9562,0.939999998,0.2944,0.300000012,0.1175,15463,38440,25938,24377,20724,21937,24794,25905,25938,56400,68300,69800,70400,0.866462767,0.89895,20500,879,20500,351,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,19500,959,12000,20785.5,1145,0.955458515
Christopher Newport University,Newport News,VA,public,bachelors,main,95158,0.8394,0.970000029,0.5097,0.289999992,0.1665,11092,20992,24696,20676,14675,15745,18705,21758,23766,42400,42700,45100,45800,0.783863783,0.664328346,19500,1013,21500,481,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,19500,1109,12257,25000,1386,0.917027417
George Mason University,Fairfax,VA,public,bachelors,main,53311,0.8728,0.910000026,0.4474,0.519999981,0.2684,9908,28592,22332,18305,13249,14854,17997,20801,21863,57000,61800,62700,60800,0.843071759,0.663020158,16875,2913,18000,2654,17000,2670,18691,4592,15000,3658,11000,20250,5455,0.927039413
James Madison University,Harrisonburg,VA,public,bachelors,main,99908,0.9237,0.949999988,0.3884,0.289999992,0.1343,9176,23654,21980,17924,10480,12008,15914,20826,21679,53400,53800,58300,62400,0.865548968,0.80801104,18662,3123,19000,1259,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18000,3400,9500,20683.5,3895,0.956867779
Longwood University,Farmville,VA,public,bachelors,main,82459,0.8155,0.970000029,0.5385,0.349999994,0.2344,11340,24210,23707,18626,11853,14405,17797,21165,22977,40800,40100,40600,45700,0.821033239,0.623144439,18355,881,20500,511,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,17000,934,11125,25327,1360,0.916911765
University of Mary Washington,Fredericksburg,VA,public,bachelors,main,94155.5,0.8004,0.959999979,0.421,0.270000011,0.1542,9720,22590,21862,17896,12720,11528,18360,20731,21163,47400,51900,50500,56500,0.820858896,0.748389194,15750,978,16230,451,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,15000,1095,8750,22150,1086,0.952117864
Norfolk State University,Norfolk,VA,public,bachelors,main,36184,0.7203,0.920000017,0.8228,0.730000019,0.6169,7126,20596,18837,11901,10139,10384,13701,15674,17019,34400,34400,38700,39400,0.670822918,0.344195665,21485,604,22130,1373,20600,2377,22958,3559,14750,799,15750,31000,2670,0.450561798
Old Dominion University,Norfolk,VA,public,bachelors,main,48850,0.7956,0.939999998,0.5549,0.540000021,0.3395,8550,24210,20531,14174,9852,10915,14473,18101,18536,43300,44900,49000,48700,0.797775269,0.502152581,16686.5,2948,18250,3071,18750,3505,20250,5741,14500.5,3798,14250,23867,5895,0.800169635
Radford University,Radford,VA,public,bachelors,main,73931,0.7807,0.970000029,0.5865,0.409999996,0.2846,8976,21141,19987,15651,9789,11988,14878,18362,19467,42100,43600,45200,49300,0.809878469,0.593005042,14000,1754,16604,1278,14983,1063,17184.5,2054,13500,2053,8750,21500,2992,0.913435829
The University of Virginia's College at Wise,Wise,VA,public,bachelors,main,48359.5,0.7108,0.850000024,0.4244,0.629999995,0.3798,8509,23565,18365,8843,6583,6501,10441,12367,16075,36500,40300,41000,47700,0.781690121,0.4264,13000,197,14600,301,10500,281,13207,549,12000,230,8891,20700,622,0.779742765
Virginia Polytechnic Institute and State University,Blacksburg,VA,public,bachelors,main,95419,0.9119,0.959999979,0.4304,0.330000013,0.1735,11455,27211,25513,19993,13075,15329,18936,22554,24353,57900,59700,60300,66100,0.872243047,0.825894661,21500,4304,22905,1806,22200,1161,24500,2863,20500,4423,13925,25000,5439,0.945578231
Virginia Commonwealth University,Richmond,VA,public,bachelors,main,55696,0.8659,0.959999979,0.5255,0.519999981,0.2865,12002,29473,25291,18354,11544,15172,18813,21223,23279,41800,48900,46400,46800,0.765276194,0.564915027,17750,3691,20000,3388,20000,2983,22000,5641,15000,4442,11750,24750,6616,0.816051995
University of Virginia-Main Campus,Charlottesville,VA,public,bachelors,main,84687,0.97,0.930000007,0.2414,0.289999992,0.1205,12668,40054,25255,17149,6591,7577,15183,21850,24427,58600,71200,72700,76400,0.877887785,0.932451013,19500,1676,19488,864,11460,561,PrivacySuppressed,PrivacySuppressed,19500,1979,11921,19500,2320,0.953017241
Virginia Military Institute,Lexington,VA,public,bachelors,main,89939.5,0.8411,0.949999988,0.4645,0.370000005,0.1508,14404,35392,24643,17802,5571,18523,11614,18499,21036,56600,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.865384638,0.736503639,20625,330,21500,135,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,19605,348,8500,23500,303,0.930693069
Virginia State University,Petersburg,VA,public,bachelors,main,39006,0.6495,0.959999979,0.8463,0.730000019,0.6829,7784,17192,20075,13399,11936,12781,15514,17064,18766,34400,34600,37900,41300,0.678780019,0.409957692,18500,679,19012,1421,14794,2001,17748.5,3310,13924,795,9531,28451,2451,0.470828233
Central Washington University,Ellensburg,WA,public,bachelors,main,55180,0.7387,0.930000007,0.5472,0.519999981,0.3547,8976,20886,21401,14589,8866,11040,16540,19204,19985,44900,47200,46900,48100,0.776350439,0.523102683,15000,1869,16500,1776,16261.5,2188,17683,3579,14220,2271,11109,21267,3870,0.854521964
Eastern Washington University,Cheney,WA,public,bachelors,main,43755.5,0.7479,0.910000026,0.5349,0.579999983,0.3871,7961,19612,19831,12983,7605,10603,15259,18024,19050,40500,40200,46300,46800,0.741548538,0.458721615,14514,1439,16027.5,1772,15703,2350,16999,3598,13000,1979,11666,20500,4243,0.850341739
The Evergreen State College,Olympia,WA,public,bachelors,main,26490,0.7409,0.889999986,0.5371,0.680000007,0.4426,8574,20661,21433,11903,8687,10941,14337,19535,21043,31800,33300,37200,34700,0.610091746,0.554251994,13783.5,414,14000,543,15877,1247,16356,1630,PrivacySuppressed,PrivacySuppressed,11834,17594,1934,0.805584281
Washington State University,Pullman,WA,public,bachelors,main,58238.5,0.7977,0.939999998,0.5109,0.519999981,0.3323,12327,25409,26292,16834,10232,12478,16762,23714,25408,46400,51300,51600,53200,0.804926634,0.663111126,15500,3513,15500,3279,16000,3623,17000,6313,14000,4130,11250,20977,7917,0.89819376
University of Washington-Seattle Campus,Seattle,WA,public,bachelors,main,38703,0.9303,0.870000005,0.3261,0.540000021,0.2489,12397,31971,24606,11904,6220,6639,9161,18199,23637,52100,65800,58400,59300,0.835738063,0.81314093,15000,3941,14358,3968,14835,4773,15046,7511,14000,5212,11400,16326,8268,0.91920658
Western Washington University,Bellingham,WA,public,bachelors,main,60238,0.8282,0.930000007,0.4661,0.469999999,0.255,8863,19752,22009,16325,8859,11045,16698,20715,21493,43200,44200,45900,47600,0.771657884,0.682378007,15000,2266,16654.5,1642,15363,1570,17118,2813,14516.5,2674,10476,19500,3832,0.903966597
Bluefield State College,Bluefield,WV,public,bachelors,main,21135,0.6012,0.709999979,0.6041,0.810000002,0.5948,5564,10536,14940,8843,8005,7886,10459,14027,11784,29400,29800,37000,35700,0.569033504,0.255025683,12095,165,12193.5,374,13250,812,14000,1095,9500,257,11000,20500,1108,0.497292419
Concord University,Athens,WV,public,bachelors,main,37164,0.6388,0.860000014,0.6086,0.689999998,0.4738,6160,13490,17146,10583,8413,9482,11765,15089,15053,32900,34200,36300,38300,0.652505457,0.367442527,11047,317,12479,485,10469,650,11500,1031,9914.5,422,9065,21500,1062,0.672316384
Fairmont State University,Fairmont,WV,public,bachelors,main,36183,0.6117,0.889999986,0.6396,0.699999988,0.4803,5824,12288,14710,8971,7598,7775,9956,10543,11025,34200,34800,37800,44700,0.669282496,0.346966248,12500,544,14000,893,14462,1231,15822,1938,10747,734,10500,23478,2893,0.624265468
Glenville State College,Glenville,WV,public,bachelors,main,32757,0.6331,0.879999995,0.4821,0.779999971,0.4052,6384,14400,19910,15890,15307,12687,17384,19910,19910,31400,30300,37900,44300,0.613915443,0.341846182,11000,133,14777,296,13017,434,14611,696,9469.5,168,9500,27000,744,0.530913978
Marshall University,Huntington,WV,public,bachelors,main,41261,0.6856,0.899999976,0.6019,0.649999976,0.4364,6216,14446,16361,8402,6395,7092,9673,11585,12201,35100,36200,39900,43000,0.679092407,0.443847793,14169.5,1268,15350,1701,13943,2181,16221,3525,11798,1631,9750,23804,3768,0.652335456
Shepherd University,Shepherdstown,WV,public,bachelors,main,59289.5,0.6841,0.920000017,0.5561,0.50999999,0.329,6256,15840,14846,9824,6462,7759,10732,12404,13243,38500,37600,41200,42700,0.728037357,0.406839739,14000,778,14000,690,13865.5,676,15646.5,1220,12000,926,9250,23149,1495,0.753846154
West Virginia State University,Institute,WV,public,bachelors,main,25404.5,0.5176,0.829999983,0.5265,0.779999971,0.4612,5932,13864,13756,8505,7032,7586,9963,10262,12730,29500,28700,34900,40000,0.593406618,0.20566383,9500,232,13000,417,13464,847,14919,1162,8203,336,9500,23787.5,1656,0.599637681
